,chapter,comments,date
47,1087,118,04/26/2018
50,1090,96,04/29/2018
51,1091,136,04/30/2018
52,1092,107,05/01/2018
53,1093,59,05/02/2018
54,1094,61,05/03/2018
55,1095,69,05/04/2018
56,1096,72,05/05/2018
57,1097,272,05/06/2018
58,1098,125,05/08/2018
59,1099,139,05/09/2018
60,1100,101,05/10/2018
61,1101,149,05/11/2018
62,1102,80,05/12/2018
63,1103,110,05/13/2018
64,1104,102,05/14/2018
65,1105,92,05/15/2018
66,1106,92,05/17/2018
67,1107,90,05/17/2018
68,1108,193,05/18/2018
69,1109:,149,05/19/2018
70,1110,83,05/20/2018
71,1111,105,05/21/2018
72,1112,132,05/23/2018
73,1113,125,05/24/2018
74,1114,63,05/25/2018
75,1115,76,05/26/2018
76,1116,60,05/28/2018
77,1117,92,05/29/2018
78,1118,100,05/31/2018
79,1119,138,05/31/2018
80,1120,242,06/05/2018
81,1121,207,06/08/2018
82,1122,199,06/12/2018
83,1123,157,06/14/2018
84,1124,140,06/16/2018
85,1125,227,06/18/2018
86,1126,101,06/25/2018
87,1127,171,06/28/2018
88,1128,130,06/30/2018
89,1129,106,07/03/2018
90,1130,77,07/04/2018
91,1131,103,07/07/2018
92,1132,170,07/10/2018
93,1133,176,07/13/2018
94,1134,181,07/14/2018
95,1135,165,07/16/2018
96,1136,134,07/17/2018
97,1137,168,07/18/2018
98,1138,140,07/19/2018
99,1139,145,07/20/2018
100,1140,162,07/21/2018
101,1141,156,07/23/2018
102,1142,159,07/24/2018
104,1144,149,07/26/2018
105,1145,215,07/28/2018
106,1146,234,07/30/2018
107,1147,230,08/01/2018
108,1148,83,08/02/2018
109,1149,193,08/03/2018
110,1150,113,08/05/2018
111,1151,122,08/06/2018
113,1153,92,08/09/2018
114,1154,93,08/09/2018
115,1155,107,08/11/2018
116,1156,140,08/12/2018
117,1157,146,08/14/2018
118,1158,145,08/16/2018
119,1159,149,08/17/2018
120,1160,154,08/18/2018
121,1161,135,08/19/2018
122,1162,133,08/20/2018
123,1163,146,08/22/2018
124,1164,114,08/23/2018
125,1165,106,08/25/2018
126,1166,117,08/25/2018
127,1167,96,08/27/2018
128,1168,108,08/28/2018
129,1169,115,08/29/2018
130,1170,150,08/31/2018
131,1171,120,09/01/2018
132,1172,152,09/02/2018
133,1173,94,09/03/2018
134,1174,136,09/04/2018
135,1175,133,09/06/2018
136,1176,193,09/07/2018
137,1177,165,09/08/2018
138,1178,147,09/10/2018
139,1179,136,09/11/2018
140,1180,90,09/13/2018
141,1181,169,09/14/2018
142,1182,77,09/15/2018
143,1183,102,09/17/2018
144,1184,168,09/17/2018
145,1185,102,09/19/2018
146,1186,141,09/19/2018
147,1187,104,09/21/2018
149,1189,116,09/23/2018
150,1190,108,09/25/2018
151,1191,137,09/27/2018
152,1192:,136,09/29/2018
153,1193,128,10/01/2018
154,1194,126,10/02/2018
155,1195,173,10/04/2018
156,1196:,85,10/06/2018
157,1197:,163,10/07/2018
158,1198,110,10/08/2018
159,1199,101,10/10/2018
160,1200,82,10/11/2018
161,1201,234,10/12/2018
162,1202:,148,10/13/2018
163,1203,128,10/14/2018
164,1204:,202,10/16/2018
165,1205,199,10/18/2018
166,1206,112,10/20/2018
167,1207,71,10/21/2018
168,1208:,157,10/22/2018
169,1209,140,10/24/2018
170,1210:,239,10/26/2018
171,1211:,99,10/28/2018
172,1212,105,10/30/2018
173,1213,152,10/31/2018
174,1214,141,11/01/2018
175,1215,161,11/03/2018
176,1216:,188,11/05/2018
177,1217,150,11/06/2018
178,1218,144,11/08/2018
179,1219,152,11/10/2018
180,1220,107,11/12/2018
181,1221,88,11/13/2018
182,1222,98,11/15/2018
183,1223,93,11/16/2018
184,1224,93,11/18/2018
185,1225,139,11/20/2018
186,1226,151,11/21/2018
187,1227,128,11/23/2018
188,1228,139,11/25/2018
189,1229,143,11/27/2018
190,1230,129,11/28/2018
191,1231,177,11/29/2018
192,1232,134,12/01/2018
193,1233,150,12/02/2018
194,1234,170,12/05/2018
196,1236,87,12/08/2018
197,1237,181,12/09/2018
198,1238,186,12/11/2018
199,1239,223,12/12/2018
200,1240,152,12/14/2018
201,1241,160,12/15/2018
202,1242,154,12/17/2018
203,1243,210,12/18/2018
204,1244,152,12/19/2018
205,1245,130,12/20/2018
206,1246,200,12/21/2018
207,1247,151,12/22/2018
208,1248,147,12/23/2018
210,1250,137,12/25/2018
211,1251,98,12/25/2018
212,1252,186,12/26/2018
213,1253,122,12/27/2018
214,1254,155,12/28/2018
216,1256,83,01/01/2019
217,1257,73,01/02/2019
218,1258,92,01/03/2019
219,1259,96,01/04/2019
220,1260,113,01/05/2019
221,1261,137,01/06/2019
222,1262,107,01/07/2019
223,1263,138,01/08/2019
224,1264,115,01/10/2019
225,1265,96,01/11/2019
226,1266,96,01/12/2019
227,1267,113,01/14/2019
228,1268,93,01/16/2019
229,1269,64,01/18/2019
230,1270,155,01/19/2019
231,1271,88,01/20/2019
232,1272,68,01/21/2019
233,1273,79,01/23/2019
234,1274,112,01/24/2019
235,1275,91,01/25/2019
236,1276,91,01/26/2019
237,1277,97,01/27/2019
238,1278,106,01/28/2019
239,1279,77,01/30/2019
240,1280,57,01/31/2019
241,1281,38,02/01/2019
242,1282,77,02/02/2019
243,1283,145,02/03/2019
244,1284,68,02/04/2019
245,1285,121,02/05/2019
246,1286,88,02/06/2019
247,1287,83,02/07/2019
248,1288,79,02/08/2019
249,1289,79,02/09/2019
250,1290,72,02/11/2019
251,1291,118,02/12/2019
252,1292,55,02/13/2019
253,1293,86,02/14/2019
254,1294,96,02/15/2019
255,1295,73,02/16/2019
256,1296,77,02/17/2019
257,1297,67,02/18/2019
258,1298,59,02/19/2019
259,1299,93,02/20/2019
260,1300,59,02/21/2019
261,1301,83,02/22/2019
262,1302,148,02/23/2019
263,1303,90,02/24/2019
264,1304,51,02/25/2019
265,1305,27,02/26/2019
266,1306,66,02/27/2019
267,1307,51,02/28/2019
268,1308,76,03/01/2019
269,1309,44,03/02/2019
270,1310,77,03/03/2019
271,1311,142,03/04/2019
272,1312,127,03/05/2019
273,1313,86,03/06/2019
274,1314,129,03/07/2019
275,1315,69,03/08/2019
276,1316,64,03/09/2019
277,1317,81,03/10/2019
278,1318,115,03/11/2019
279,1319,65,03/12/2019
280,1320,90,03/13/2019
281,1321,78,03/14/2019
282,1322,89,03/15/2019
283,1323,44,03/16/2019
284,1324,63,03/17/2019
285,1325,84,03/18/2019
287,1327,80,03/20/2019
288,1328,82,03/21/2019
289,1329,83,03/22/2019
290,1330,65,03/23/2019
291,1331,69,03/24/2019
292,1332-,106,03/25/2019
293,1333,65,03/26/2019
294,1334,123,03/27/2019
295,1335,133,03/28/2019
296,1336,83,03/29/2019
297,1337,61,03/30/2019
298,1338,84,03/31/2019
299,1339,93,04/01/2019
300,1340,83,04/02/2019
301,1341,83,04/03/2019
302,1342:,193,04/04/2019
303,1343,106,04/05/2019
304,1344,119,04/06/2019
305,1345,90,04/07/2019
306,1346,85,04/08/2019
307,1347,65,04/09/2019
308,1348,74,04/10/2019
309,1349,75,04/11/2019
310,1350,94,04/12/2019
311,1351,116,04/14/2019
312,1352,65,04/15/2019
313,1353,119,04/17/2019
314,1354,154,04/18/2019
315,1355,130,04/19/2019
316,1356,117,04/20/2019
317,1357,126,04/21/2019
318,1358,168,04/22/2019
319,1359,99,04/24/2019
320,1360,88,04/25/2019
321,1361,61,04/26/2019
322,1362,90,04/27/2019
323,1363,75,04/28/2019
324,1364,163,04/29/2019
325,1365,57,04/30/2019
326,1366,87,05/01/2019
327,1367,117,05/02/2019
328,1368,101,05/04/2019
329,1369,57,05/05/2019
330,1370,56,05/06/2019
331,1371,112,05/07/2019
332,1372,133,05/08/2019
333,1373,79,05/09/2019
334,1374,58,05/10/2019
335,1375,75,05/11/2019
336,1376,59,05/12/2019
337,1377,67,05/13/2019
338,1378,86,05/14/2019
339,1379,99,05/15/2019
340,1380,82,05/16/2019
341,1381,72,05/17/2019
342,1382,64,05/18/2019
343,1383,66,05/19/2019
344,1384,35,05/20/2019
345,1385,55,05/21/2019
346,1386,62,05/22/2019
347,1387,92,05/23/2019
348,1388,74,05/24/2019
349,1389,127,05/25/2019
350,1390,91,05/26/2019
351,1391,117,05/27/2019
352,1392,109,05/28/2019
353,1393,59,05/29/2019
354,1394,68,05/30/2019
355,1395,83,05/31/2019
356,1396,100,06/01/2019
357,1397,78,06/02/2019
358,1398,67,06/03/2019
359,1399,52,06/04/2019
360,1400,67,06/05/2019
361,1401,139,06/06/2019
362,1402,163,06/07/2019
363,1403,47,06/08/2019
364,1404,78,06/09/2019
367,1407,75,06/12/2019
368,1408,55,06/13/2019
369,1409,74,06/14/2019
370,1410,70,06/15/2019
371,1411,53,06/16/2019
372,1412,93,06/17/2019
373,1413,95,06/18/2019
374,1414,108,06/19/2019
375,1415,66,06/20/2019
376,1416,140,06/21/2019
377,1417,72,06/22/2019
378,1418,71,06/23/2019
379,1419,108,06/24/2019
380,1420,56,06/26/2019
381,1421,111,06/27/2019
382,1422,73,06/28/2019
383,1423,112,06/29/2019
384,1424,139,06/30/2019
385,1425,65,07/01/2019
386,1426,101,07/02/2019
387,1427,170,07/03/2019
388,1428,70,07/04/2019
389,1429,89,07/05/2019
390,1430,93,07/05/2019
391,1431,114,07/06/2019
392,1432,137,07/07/2019
393,1433,137,07/08/2019
394,1434,132,07/09/2019
395,1435,60,07/10/2019
396,1436,71,07/11/2019
397,1437,70,07/12/2019
398,1438,108,07/13/2019
399,1439,108,07/14/2019
400,1440,43,07/15/2019
401,1441,52,07/16/2019
402,1442,57,07/17/2019
403,1443,108,07/18/2019
405,1445,74,07/20/2019
406,1446,86,07/21/2019
407,1447,117,07/22/2019
408,1448,60,07/23/2019
409,1449,80,07/24/2019
410,1450,70,07/25/2019
411,1451,78,07/26/2019
412,1452,76,07/27/2019
413,1453,95,07/28/2019
414,1454,120,07/29/2019
415,1455,104,07/30/2019
416,1456,117,07/31/2019
417,1457,76,08/01/2019
418,1458,64,08/01/2019
419,1459,65,08/02/2019
420,1460,50,08/03/2019
421,1461,51,08/04/2019
422,1462,85,08/05/2019
423,1463,89,08/06/2019
424,1464,60,08/07/2019
425,1465,80,08/08/2019
426,1466,84,08/09/2019
427,1467,60,08/10/2019
428,1468,81,08/11/2019
429,1469,107,08/12/2019
430,1470,65,08/13/2019
