chapter,comments,date
1040,66,03/03/2018
1041,62,03/04/2018
1042,99,03/05/2018
0,0,0
0,0,0
1045,97,03/11/2018
1046,125,03/15/2018
1047,42,03/15/2018
1048,48,03/15/2018
1049,60,03/16/2018
1050,63,03/17/2018
1051,87,03/19/2018
1052,84,03/20/2018
1053,80,03/21/2018
1054,83,03/21/2018
1055,80,03/23/2018
1056,76,03/25/2018
1057,57,03/26/2018
1058,76,03/27/2018
1059,74,03/27/2018
1060,106,03/29/2018
1061,53,03/30/2018
1062,Commenting,03/31/2018
1063,112,04/01/2018
1064,110,04/02/2018
1065,141,04/03/2018
1066,146,04/04/2018
1067,155,04/05/2018
1068,0,04/06/2018
1069,86,04/07/2018
1070,71,04/08/2018
1071,0,04/09/2018
1072,78,04/11/2018
1073,105,04/11/2018
1074,103,04/13/2018
1075,92,04/14/2018
1076,99,04/15/2018
1077,159,04/16/2018
1078,63,04/17/2018
1079,103,04/18/2018
1080,112,04/20/2018
1081,148,04/20/2018
1082,67,04/21/2018
1083,65,04/22/2018
1084,68,04/23/2018
1085,71,04/24/2018
1086,0,04/26/2018
1087,118,04/26/2018
1088,0,04/27/2018
1089,0,04/28/2018
1090,96,04/29/2018
1091,136,04/30/2018
1092,107,05/01/2018
1093,59,05/02/2018
1094,61,05/03/2018
1095,69,05/04/2018
1096,72,05/05/2018
1097,272,05/06/2018
1098,125,05/08/2018
1099,139,05/09/2018
1100,101,05/10/2018
1101,149,05/11/2018
1102,80,05/12/2018
1103,110,05/13/2018
1104,102,05/14/2018
1105,92,05/15/2018
1106,92,05/17/2018
1107,90,05/17/2018
1108,193,05/18/2018
1109:,149,05/19/2018
1110,83,05/20/2018
1111,105,05/21/2018
1112,132,05/23/2018
1113,125,05/24/2018
1114,63,05/25/2018
1115,76,05/26/2018
1116,60,05/28/2018
1117,92,05/29/2018
1118,100,05/31/2018
1119,138,05/31/2018
1120,242,06/05/2018
1121,207,06/08/2018
1122,199,06/12/2018
1123,157,06/14/2018
1124,140,06/16/2018
1125,227,06/18/2018
1126,101,06/25/2018
1127,171,06/28/2018
1128,130,06/30/2018
1129,106,07/03/2018
1130,77,07/04/2018
1131,103,07/07/2018
1132,170,07/10/2018
1133,176,07/13/2018
1134,181,07/14/2018
1135,165,07/16/2018
1136,134,07/17/2018
1137,168,07/18/2018
1138,140,07/19/2018
1139,145,07/20/2018
1140,162,07/21/2018
1141,156,07/23/2018
1142,159,07/24/2018
1143,0,07/25/2018
1144,149,07/26/2018
1145,215,07/28/2018
1146,234,07/30/2018
1147,230,08/01/2018
1148,83,08/02/2018
1149,193,08/03/2018
1150,113,08/05/2018
1151,122,08/06/2018
1152,0,08/07/2018
1153,92,08/09/2018
1154,93,08/09/2018
1155,107,08/11/2018
1156,140,08/12/2018
1157,146,08/14/2018
1158,145,08/16/2018
1159,149,08/17/2018
1160,154,08/18/2018
1161,135,08/19/2018
1162,133,08/20/2018
1163,146,08/22/2018
1164,114,08/23/2018
1165,106,08/25/2018
1166,117,08/25/2018
1167,96,08/27/2018
1168,108,08/28/2018
1169,115,08/29/2018
1170,150,08/31/2018
1171,120,09/01/2018
1172,152,09/02/2018
1173,94,09/03/2018
1174,136,09/04/2018
1175,133,09/06/2018
1176,193,09/07/2018
1177,165,09/08/2018
1178,147,09/10/2018
1179,136,09/11/2018
1180,90,09/13/2018
1181,169,09/14/2018
1182,77,09/15/2018
1183,102,09/17/2018
1184,168,09/17/2018
1185,102,09/19/2018
1186,141,09/19/2018
1187,104,09/21/2018
1188,0,09/22/2018
1189,116,09/23/2018
1190,108,09/25/2018
1191,137,09/27/2018
1192:,136,09/29/2018
1193,128,10/01/2018
1194,126,10/02/2018
1195,173,10/04/2018
1196:,85,10/06/2018
1197:,163,10/07/2018
1198,110,10/08/2018
1199,101,10/10/2018
1200,82,10/11/2018
1201,234,10/12/2018
1202:,148,10/13/2018
1203,128,10/14/2018
1204:,202,10/16/2018
1205,199,10/18/2018
1206,112,10/20/2018
1207,71,10/21/2018
1208:,157,10/22/2018
1209,140,10/24/2018
1210:,239,10/26/2018
1211:,99,10/28/2018
1212,105,10/30/2018
1213,152,10/31/2018
1214,141,11/01/2018
1215,161,11/03/2018
1216:,188,11/05/2018
1217,150,11/06/2018
1218,144,11/08/2018
1219,152,11/10/2018
1220,107,11/12/2018
1221,88,11/13/2018
1222,98,11/15/2018
1223,93,11/16/2018
1224,93,11/18/2018
1225,139,11/20/2018
1226,151,11/21/2018
1227,128,11/23/2018
1228,139,11/25/2018
1229,143,11/27/2018
1230,129,11/28/2018
1231,177,11/29/2018
1232,134,12/01/2018
1233,150,12/02/2018
1234,170,12/05/2018
1235,0,12/06/2018
1236,87,12/08/2018
1237,181,12/09/2018
1238,186,12/11/2018
1239,223,12/12/2018
1240,152,12/14/2018
1241,160,12/15/2018
1242,154,12/17/2018
1243,210,12/18/2018
1244,152,12/19/2018
1245,130,12/20/2018
1246,200,12/21/2018
1247,151,12/22/2018
1248,147,12/23/2018
1249,0,12/24/2018
1250,137,12/25/2018
1251,98,12/25/2018
1252,186,12/26/2018
1253,122,12/27/2018
1254,155,12/28/2018
1255,0,12/30/2018
1256,83,01/01/2019
1257,73,01/02/2019
1258,92,01/03/2019
1259,96,01/04/2019
1260,113,01/05/2019
1261,137,01/06/2019
1262,107,01/07/2019
1263,138,01/08/2019
1264,115,01/10/2019
1265,96,01/11/2019
1266,96,01/12/2019
1267,113,01/14/2019
1268,93,01/16/2019
1269,64,01/18/2019
1270,155,01/19/2019
1271,88,01/20/2019
1272,68,01/21/2019
1273,79,01/23/2019
1274,112,01/24/2019
1275,91,01/25/2019
1276,91,01/26/2019
1277,97,01/27/2019
1278,106,01/28/2019
1279,77,01/30/2019
1280,57,01/31/2019
1281,38,02/01/2019
1282,77,02/02/2019
1283,145,02/03/2019
1284,68,02/04/2019
1285,121,02/05/2019
1286,88,02/06/2019
